Gene_Name,mean_RNA_G1,mean_RNA_S,mean_RNA_G2,mean_protein_G1,mean_protein_S,mean_protein_G2,GOBP,GOMF,GOCC
RAD23A,11.13715333,11.50264333,11.30666,26.05761,22.78151667,25.58089,biological regulation;catabolic process;cellular catabolic process;cellular macromolecule catabolic process;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cellular response to stimulus;cellular response to stress;DNA metabolic process;DNA repair;interspecies interaction between organisms;macromolecule catabolic process;macromolecule metabolic process;metabolic process;modification-dependent macromolecule catabolic process;modification-dependent protein catabolic process;multi-organism process;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;nucleotide-excision repair;positive regulation of biological process;positive regulation of reproductive process;positive regulation of viral genome replication;positive regulation of viral reproduction;primary metabolic process;proteasomal protein catabolic process;proteasomal ubiquitin-dependent protein catabolic process;protein metabolic process;proteolysis;proteolysis involved in cellular protein catabolic process;regulation of biological process;regulation of catabolic process;regulation of cellular catabolic process;regulation of cellular metabolic process;regulation of cellular process;regulation of cellular protein metabolic process;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of primary metabolic process;regulation of proteasomal protein catabolic process;regulation of proteasomal ubiquitin-dependent protein catabolic process;regulation of protein catabolic process;regulation of protein metabolic process;regulation of proteolysis;regulation of reproductive process;regulation of viral genome replication;regulation of viral reproduction;response to DNA damage stimulus;response to stimulus;response to stress;ubiquitin-dependent protein catabolic process,binding;damaged DNA binding;DNA binding;nucleic acid binding;polyubiquitin binding;protein binding;single-stranded DNA binding;small conjugating protein binding;structure-specific DNA binding;ubiquitin binding,cell part;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;macromolecular complex;membrane-bounded organelle;nucleus;organelle;proteasome complex;protein complex
MGAT2,8.468367333,8.546554667,8.908960333,,,18.10778,biosynthetic process;carbohydrate biosynthetic process;carbohydrate metabolic process;cellular carbohydrate metabolic process;cellular macromolecule metabolic process;cellular metabolic process;cellular process;cellular protein metabolic process;glycosylation;macromolecule glycosylation;macromolecule metabolic process;macromolecule modification;metabolic process;oligosaccharide biosynthetic process;oligosaccharide metabolic process;peptidyl-amino acid modification;peptidyl-asparagine modification;post-translational protein modification;primary metabolic process;protein glycosylation;protein metabolic process;protein modification process;protein N-linked glycosylation;protein N-linked glycosylation via asparagine,"acetylglucosaminyltransferase activity;alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity;catalytic activity;transferase activity;transferase activity, transferring glycosyl groups;transferase activity, transferring hexosyl groups;UDP-glycosyltransferase activity",cell fraction;cell part;cytoplasmic part;Golgi apparatus part;Golgi membrane;Golgi stack;insoluble fraction;integral to membrane;intracellular organelle part;intracellular part;intrinsic to membrane;membrane;membrane fraction;membrane part;organelle membrane;organelle part
COG4,10.78769,10.80582,10.68224,22.03756667,19.49793333,22.29793333,"cellular component assembly;cellular component assembly at cellular level;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular macromolecular complex assembly;cellular macromolecular complex subunit organization;cellular process;cellular protein complex assembly;establishment of localization;establishment of localization in cell;establishment of protein localization;Golgi organization;Golgi vesicle prefusion complex stabilization;Golgi vesicle transport;intracellular transport;macromolecular complex assembly;macromolecular complex subunit organization;organelle organization;protein complex assembly;protein complex subunit organization;protein transport;retrograde vesicle-mediated transport, Golgi to ER;transport;vesicle-mediated transport",binding;protein binding,cell part;cytoplasmic part;Golgi apparatus part;Golgi membrane;Golgi transport complex;intracellular organelle part;intracellular part;macromolecular complex;membrane;organelle membrane;organelle part;protein complex
SNX17,11.47068,11.54139333,11.52275333,24.04456333,21.31981667,23.26280667,alcohol metabolic process;biological regulation;catabolic process;cellular process;cellular response to stimulus;cholesterol catabolic process;cholesterol metabolic process;endosome transport;establishment of localization;establishment of localization in cell;establishment of protein localization;intracellular protein transport;intracellular transport;lipid catabolic process;lipid metabolic process;metabolic process;primary metabolic process;protein transport;regulation of biological process;regulation of cellular component organization;regulation of cellular process;regulation of endocytosis;regulation of localization;regulation of transport;regulation of vesicle-mediated transport;response to stimulus;signal transduction;small molecule metabolic process;steroid catabolic process;steroid metabolic process;sterol catabolic process;sterol metabolic process;transport;vesicle-mediated transport,binding;lipid binding;lipoprotein particle receptor binding;low-density lipoprotein particle receptor binding;phosphatidylinositol binding;phospholipid binding;protein binding;protein C-terminus binding;receptor binding,cell part;cytoplasm;cytoplasmic part;cytoplasmic vesicle membrane;cytoplasmic vesicle part;cytosol;early endosome;endosome;Golgi apparatus;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;membrane;membrane-bounded organelle;organelle;organelle membrane;organelle part;vesicle membrane
BUB3,12.12034333,12.22643667,12.40571333,28.89897667,26.68162333,29.12016667,anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process;attachment of spindle microtubules to chromosome;attachment of spindle microtubules to kinetochore;biological regulation;catabolic process;cell cycle checkpoint;cell cycle phase;cell cycle process;cell division;cellular catabolic process;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular macromolecule catabolic process;cellular macromolecule metabolic process;cellular metabolic process;cellular process;cytoskeleton organization;macromolecule catabolic process;macromolecule metabolic process;maintenance of location;maintenance of location in cell;maintenance of protein location;maintenance of protein location in cell;meiosis;metabolic process;microtubule anchoring;microtubule cytoskeleton organization;microtubule-based process;mitotic cell cycle checkpoint;mitotic cell cycle spindle assembly checkpoint;mitotic cell cycle spindle checkpoint;mitotic prometaphase;modification-dependent macromolecule catabolic process;modification-dependent protein catabolic process;negative regulation of biological process;negative regulation of catalytic activity;negative regulation of cell cycle;negative regulation of cell cycle process;negative regulation of cellular component organization;negative regulation of cellular metabolic process;negative regulation of cellular process;negative regulation of cellular protein metabolic process;negative regulation of ligase activity;negative regulation of macromolecule metabolic process;negative regulation of metabolic process;negative regulation of mitosis;negative regulation of mitotic metaphase/anaphase transition;negative regulation of molecular function;negative regulation of nuclear division;negative regulation of organelle organization;negative regulation of protein metabolic process;negative regulation of protein modification process;negative regulation of protein ubiquitination;negative regulation of ubiquitin-protein ligase activity;negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;organelle organization;primary metabolic process;proteasomal protein catabolic process;proteasomal ubiquitin-dependent protein catabolic process;protein metabolic process;proteolysis;proteolysis involved in cellular protein catabolic process;regulation of biological process;regulation of biological quality;regulation of catalytic activity;regulation of cell cycle;regulation of cell cycle arrest;regulation of cell cycle process;regulation of cellular component organization;regulation of cellular metabolic process;regulation of cellular process;regulation of cellular protein metabolic process;regulation of ligase activity;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of mitosis;regulation of mitotic cell cycle;regulation of mitotic metaphase/anaphase transition;regulation of molecular function;regulation of nuclear division;regulation of organelle organization;regulation of primary metabolic process;regulation of protein metabolic process;regulation of protein modification process;regulation of protein ubiquitination;regulation of ubiquitin-protein ligase activity;regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;spindle assembly checkpoint;spindle checkpoint;ubiquitin-dependent protein catabolic process,binding;protein binding,cell part;chromosomal part;condensed chromosome kinetochore;cytoplasmic part;cytosol;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;kinetochore;macromolecular complex;membrane-bounded organelle;non-membrane-bounded organelle;nucleus;organelle;organelle part;protein complex
EIF3C,12.81235,12.90070333,12.88336333,26.17161333,23.85481,26.78450667,,"binding;nucleic acid binding;RNA binding;translation factor activity, nucleic acid binding;translation initiation factor activity",cell part;cytoplasmic part;cytosol;eukaryotic translation initiation factor 3 complex;intracellular part;macromolecular complex;protein complex
DNM1L,12.28681667,12.26711667,12.21969333,26.23883667,23.5059,26.45807333,apoptotic mitochondrial changes;biological regulation;cellular component assembly;cellular component assembly at cellular level;cellular component disassembly;cellular component disassembly at cellular level;cellular component disassembly involved in apoptosis;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular macromolecular complex assembly;cellular macromolecular complex subunit organization;cellular membrane organization;cellular process;cellular protein complex assembly;dynamin polymerization involved in membrane fission;dynamin polymerization involved in mitochondrial fission;macromolecular complex assembly;macromolecular complex subunit organization;membrane fission;membrane fission involved in mitochondrial fission;membrane organization;mitochondrial fission;mitochondrial fragmentation involved in apoptosis;mitochondrion organization;organelle fission;organelle organization;peroxisome fission;positive regulation of biological process;positive regulation of cellular component organization;positive regulation of cellular process;positive regulation of developmental process;positive regulation of mitochondrial fission;positive regulation of mitochondrion organization;positive regulation of organelle organization;positive regulation of protein secretion;positive regulation of protein transport;positive regulation of secretion;positive regulation of transport;protein complex assembly;protein complex subunit organization;protein polymerization;regulation of anatomical structure morphogenesis;regulation of biological process;regulation of cellular component organization;regulation of cellular localization;regulation of cellular process;regulation of developmental process;regulation of establishment of protein localization;regulation of localization;regulation of mitochondrial fission;regulation of mitochondrion organization;regulation of organelle organization;regulation of protein localization;regulation of protein secretion;regulation of protein transport;regulation of secretion;regulation of transport,"binding;catalytic activity;enzyme binding;GTP binding;GTPase activity;guanyl nucleotide binding;guanyl ribonucleotide binding;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;identical protein binding;nucleoside-triphosphatase activity;nucleotide binding;protein binding;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;pyrophosphatase activity;ribonucleotide binding;ubiquitin protein ligase binding",cell part;cytoplasmic part;cytosol;endomembrane system;Golgi apparatus;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;membrane;membrane-bounded organelle;mitochondrial membrane;mitochondrial outer membrane;mitochondrial part;organelle;organelle membrane;organelle outer membrane;organelle part;outer membrane;perinuclear region of cytoplasm
API5,12.71868667,12.49591333,12.48559,27.71305,25.37619,28.02580667,anti-apoptosis;apoptosis;biological regulation;cell death;cellular process;death;negative regulation of apoptosis;negative regulation of biological process;negative regulation of cell death;negative regulation of cellular process;negative regulation of programmed cell death;programmed cell death;regulation of apoptosis;regulation of biological process;regulation of cell death;regulation of cellular process;regulation of programmed cell death,binding;fibroblast growth factor binding;growth factor binding;protein binding,cell part;cytoplasm;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane-bounded organelle;nuclear part;nucleus;organelle;organelle part;ribonucleoprotein complex;spliceosomal complex
ITGA3,10.41582,10.22405667,10.69868333,25.09256667,22.61020667,24.80124,biological adhesion;biological regulation;blood coagulation;cell adhesion;cell migration;cell motility;cell surface receptor linked signaling pathway;cell-matrix adhesion;cell-substrate adhesion;cellular component movement;cellular process;cellular response to stimulus;coagulation;hemostasis;immune system process;integrin-mediated signaling pathway;leukocyte migration;locomotion;multicellular organismal process;regulation of biological process;regulation of biological quality;regulation of body fluid levels;regulation of cellular process;response to stimulus;signal transduction,binding;protein binding;receptor activity,cell part;cell surface;integrin complex;macromolecular complex;membrane part;plasma membrane part;protein complex;receptor complex
DBNL,10.01941033,9.788357667,9.839585667,26.59274667,23.23888,25.90747,activation of JUN kinase activity;activation of MAPK activity;biological regulation;cellular component disassembly;cellular component disassembly at cellular level;cellular component disassembly involved in apoptosis;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular macromolecule metabolic process;cellular membrane organization;cellular metabolic process;cellular process;cellular protein metabolic process;cellular response to stimulus;endocytosis;establishment of localization;intracellular signal transduction;macromolecule metabolic process;macromolecule modification;membrane invagination;membrane organization;metabolic process;phosphate-containing compound metabolic process;phosphorus metabolic process;phosphorylation;positive regulation of catalytic activity;positive regulation of JUN kinase activity;positive regulation of kinase activity;positive regulation of MAP kinase activity;positive regulation of molecular function;positive regulation of protein kinase activity;positive regulation of protein serine/threonine kinase activity;positive regulation of transferase activity;primary metabolic process;protein metabolic process;protein modification process;protein phosphorylation;Rac protein signal transduction;Ras protein signal transduction;regulation of biological process;regulation of catalytic activity;regulation of cellular metabolic process;regulation of cellular process;regulation of cellular protein metabolic process;regulation of cellular response to stress;regulation of intracellular protein kinase cascade;regulation of JNK cascade;regulation of JUN kinase activity;regulation of kinase activity;regulation of macromolecule metabolic process;regulation of MAP kinase activity;regulation of MAPKKK cascade;regulation of metabolic process;regulation of molecular function;regulation of phosphate metabolic process;regulation of phosphorus metabolic process;regulation of phosphorylation;regulation of primary metabolic process;regulation of protein kinase activity;regulation of protein metabolic process;regulation of protein modification process;regulation of protein phosphorylation;regulation of protein serine/threonine kinase activity;regulation of response to stimulus;regulation of response to stress;regulation of signal transduction;regulation of signaling;regulation of stress-activated protein kinase signaling cascade;regulation of transferase activity;response to stimulus;signal transduction;small GTPase mediated signal transduction;transport;vesicle-mediated transport,actin binding;binding;cytoskeletal protein binding;enzyme activator activity;enzyme regulator activity;protein binding,cell cortex;cell part;cell projection;cytoplasmic part;cytoskeleton;cytosol;intracellular;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular part;lamellipodium;non-membrane-bounded organelle;organelle
METTL7A,10.32372333,10.48850333,10.42494,22.41883,21.01273667,23.75701667,,"catalytic activity;methyltransferase activity;transferase activity;transferase activity, transferring one-carbon groups",cell part;cytoplasmic part;endoplasmic reticulum;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;lipid particle;membrane;membrane-bounded organelle;organelle
CAPZA2,12.26983,12.37138,12.19516333,26.82032,23.90258667,26.68314,actin cytoskeleton organization;actin filament capping;actin filament-based process;biological regulation;blood coagulation;cellular component assembly;cellular component movement;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular process;coagulation;cytoskeleton organization;defense response;hemostasis;immune response;immune system process;innate immune response;macromolecular complex assembly;macromolecular complex subunit organization;multicellular organismal process;negative regulation of actin filament depolymerization;negative regulation of actin filament polymerization;negative regulation of biological process;negative regulation of cellular component organization;negative regulation of cellular process;negative regulation of cytoskeleton organization;negative regulation of organelle organization;negative regulation of protein complex assembly;negative regulation of protein complex disassembly;negative regulation of protein polymerization;organelle organization;protein complex assembly;protein complex subunit organization;regulation of actin cytoskeleton organization;regulation of actin filament depolymerization;regulation of actin filament length;regulation of actin filament polymerization;regulation of actin filament-based process;regulation of actin polymerization or depolymerization;regulation of anatomical structure size;regulation of biological process;regulation of biological quality;regulation of body fluid levels;regulation of cellular component biogenesis;regulation of cellular component organization;regulation of cellular component size;regulation of cellular process;regulation of cytoskeleton organization;regulation of organelle organization;regulation of protein complex assembly;regulation of protein complex disassembly;regulation of protein polymerization;response to stimulus;response to stress,actin binding;binding;cytoskeletal protein binding;protein binding,cell part;cytoplasmic part;cytoskeletal part;cytosol;extracellular region;F-actin capping protein complex;intracellular organelle part;intracellular part;macromolecular complex;organelle part;protein complex
FANCG,9.743791,9.744971667,9.502732333,17.93305333,15.89268333,18.19811,biological regulation;cell cycle checkpoint;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cellular response to stimulus;cellular response to stress;DNA metabolic process;DNA repair;macromolecule metabolic process;metabolic process;mitochondrion organization;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;organelle organization;primary metabolic process;regulation of biological process;regulation of cell cycle;regulation of cell cycle arrest;regulation of cell cycle process;regulation of cellular process;response to DNA damage stimulus;response to stimulus;response to stress,binding;damaged DNA binding;DNA binding;nucleic acid binding;protein binding,cell part;cytoplasmic part;Fanconi anaemia nuclear complex;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane-bounded organelle;mitochondrion;nuclear part;nucleoplasm part;organelle;organelle part;protein complex
EHD2,10.51145333,10.27778667,10.60052,24.50752333,21.38527667,24.13750667,biological regulation;blood coagulation;cellular process;coagulation;endocytic recycling;endosome transport;establishment of localization;establishment of localization in cell;hemostasis;intracellular transport;multicellular organismal process;regulation of biological quality;regulation of body fluid levels;transport;vesicle-mediated transport,"adenyl nucleotide binding;adenyl ribonucleotide binding;ATP binding;binding;calcium ion binding;catalytic activity;cation binding;GTP binding;GTPase activity;guanyl nucleotide binding;guanyl ribonucleotide binding;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;ion binding;metal ion binding;nucleic acid binding;nucleoside-triphosphatase activity;nucleotide binding;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;pyrophosphatase activity;ribonucleotide binding",cell part;cytoplasmic part;endosomal part;endosome membrane;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;membrane;membrane-bounded organelle;nucleus;organelle;organelle membrane;organelle part;plasma membrane;recycling endosome membrane
SMS,11.78185667,11.73528667,11.60319,27.11143667,24.27004,27.43297,amine biosynthetic process;amine metabolic process;aspartate family amino acid metabolic process;biosynthetic process;carboxylic acid metabolic process;cellular amine metabolic process;cellular amino acid metabolic process;cellular biogenic amine biosynthetic process;cellular biogenic amine metabolic process;cellular biosynthetic process;cellular ketone metabolic process;cellular metabolic process;cellular nitrogen compound biosynthetic process;cellular nitrogen compound metabolic process;cellular process;metabolic process;methionine metabolic process;nitrogen compound metabolic process;organic acid metabolic process;oxoacid metabolic process;polyamine biosynthetic process;polyamine metabolic process;primary metabolic process;small molecule metabolic process;spermine biosynthetic process;spermine metabolic process;sulfur amino acid metabolic process;sulfur compound metabolic process,"catalytic activity;spermidine synthase activity;spermine synthase activity;transferase activity;transferase activity, transferring alkyl or aryl (other than methyl) groups",cell part;cytoplasmic part;cytosol;intracellular part
YWHAG,11.39452333,11.38850667,11.87998333,28.99534333,26.17255667,29.28140667,biological regulation;cell cycle process;cellular process;establishment of localization;establishment of localization in cell;establishment of protein localization;G2/M transition of mitotic cell cycle;intracellular protein transport;intracellular transport;protein targeting;protein transport;regulation of biological process;regulation of biological quality;regulation of cell communication;regulation of cell development;regulation of cell differentiation;regulation of cellular process;regulation of developmental process;regulation of multicellular organismal development;regulation of multicellular organismal process;regulation of nervous system development;regulation of neurogenesis;regulation of neurological system process;regulation of neuron differentiation;regulation of response to stimulus;regulation of signal transduction;regulation of signaling;regulation of synaptic plasticity;regulation of synaptic transmission;regulation of system process;regulation of transmission of nerve impulse;transport,actin binding;binding;cytoskeletal protein binding;enzyme binding;enzyme inhibitor activity;enzyme regulator activity;insulin-like growth factor receptor binding;kinase binding;kinase inhibitor activity;kinase regulator activity;protein binding;protein domain specific binding;protein kinase binding;protein kinase C binding;protein kinase C inhibitor activity;protein kinase inhibitor activity;protein kinase regulator activity;protein serine/threonine kinase inhibitor activity;receptor binding,cell part;cytoplasm;cytoplasmic part;cytosol;intracellular part
PAK4,9.148623667,9.248872,9.558144,21.52215667,18.75447,21.48989333,apoptosis;biological regulation;cell cycle;cell death;cell growth;cell migration;cell motility;cell proliferation;cellular component movement;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular process;cellular response to stimulus;cytoskeleton organization;death;growth;locomotion;organelle organization;programmed cell death;regulation of biological process;regulation of cellular process;response to stimulus;signal transduction,"adenyl nucleotide binding;adenyl ribonucleotide binding;ATP binding;binding;catalytic activity;kinase activity;nucleotide binding;phosphotransferase activity, alcohol group as acceptor;protein kinase activity;protein serine/threonine kinase activity;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;ribonucleotide binding;transferase activity;transferase activity, transferring phosphorus-containing groups",cell part;cytoplasmic part;Golgi apparatus;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane-bounded organelle;mitochondrion;nucleus;organelle
NDUFV1,10.57192333,10.70824667,10.66160667,26.69577667,24.72029,26.91208,"cellular metabolic process;cellular process;electron transport chain;establishment of localization;generation of precursor metabolites and energy;metabolic process;mitochondrial electron transport, NADH to ubiquinone;oxidation-reduction process;respiratory electron transport chain;small molecule metabolic process;transport","4 iron, 4 sulfur cluster binding;binding;catalytic activity;cation binding;coenzyme binding;cofactor binding;FMN binding;ion binding;iron-sulfur cluster binding;metal cluster binding;metal ion binding;NAD binding;NADH dehydrogenase (quinone) activity;NADH dehydrogenase (ubiquinone) activity;NADH dehydrogenase activity;nucleotide binding;oxidoreductase activity;oxidoreductase activity, acting on NADH or NADPH;oxidoreductase activity, acting on NADH or NADPH, quinone or similar compound as acceptor",cell part;cytoplasmic part;intracellular organelle part;intracellular part;macromolecular complex;membrane part;mitochondrial membrane part;mitochondrial part;mitochondrial respiratory chain complex I;NADH dehydrogenase complex;organelle part;protein complex;respiratory chain complex I
H3F3A,13.84811333,13.85660667,13.75517333,33.20342,31.26489667,33.26528667,anatomical structure development;anatomical structure homeostasis;biological regulation;blood coagulation;brain development;cell cycle phase;cell cycle process;cellular component assembly;cellular component assembly at cellular level;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular macromolecular complex assembly;cellular macromolecular complex subunit organization;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;chromatin organization;chromosome organization;coagulation;developmental process;DNA metabolic process;hemostasis;homeostatic process;macromolecular complex assembly;macromolecular complex subunit organization;macromolecule metabolic process;metabolic process;multicellular organismal process;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;nucleosome assembly;nucleosome organization;organ development;organelle organization;primary metabolic process;protein-DNA complex assembly;protein-DNA complex subunit organization;regulation of biological process;regulation of biological quality;regulation of body fluid levels;regulation of cellular process;regulation of gene silencing;response to chemical stimulus;response to endogenous stimulus;response to hormone stimulus;response to organic substance;response to stimulus;S phase;telomere maintenance;telomere organization,binding;DNA binding;nucleic acid binding;protein binding,cell part;chromosomal part;extracellular region;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane-bounded organelle;nuclear part;nucleoplasm;nucleosome;nucleus;organelle;organelle part;protein-DNA complex
XRCC1,11.10277333,11.32262333,11.18297333,24.24132,21.6493,24.96577333,base-excision repair;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cellular response to stimulus;cellular response to stress;DNA metabolic process;DNA repair;macromolecule metabolic process;metabolic process;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;primary metabolic process;response to DNA damage stimulus;response to stimulus;response to stress;single strand break repair,binding;damaged DNA binding;DNA binding;nucleic acid binding;protein binding,cell part;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;membrane-bounded organelle;nuclear part;nucleoplasm;nucleus;organelle;organelle part
ADCK3,9.894603333,10.08491733,10.22579,22.75534333,20.94453667,23.18257,cell death;cellular process;death,"adenyl nucleotide binding;adenyl ribonucleotide binding;ATP binding;binding;catalytic activity;kinase activity;nucleotide binding;phosphotransferase activity, alcohol group as acceptor;protein kinase activity;protein serine/threonine kinase activity;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;ribonucleotide binding;transferase activity;transferase activity, transferring phosphorus-containing groups",cell part;cytoplasmic part;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane-bounded organelle;mitochondrion;organelle
EFHD2,10.57504667,10.8334,10.83949,27.75647,24.38313667,27.56895667,,binding;calcium ion binding;cation binding;ion binding;metal ion binding,cell part;membrane part;membrane raft
HSPA5,13.44298667,12.98672,13.48406667,31.46842667,29.39599,31.67775333,activation of signaling protein activity involved in unfolded protein response;anti-apoptosis;biological regulation;catabolic process;cell activation;cell communication;cellular catabolic process;cellular macromolecule catabolic process;cellular macromolecule metabolic process;cellular metabolic process;cellular process;cellular response to external stimulus;cellular response to extracellular stimulus;cellular response to glucose starvation;cellular response to nutrient levels;cellular response to starvation;cellular response to stimulus;cellular response to stress;ER-associated protein catabolic process;establishment of localization;establishment of localization in cell;exocytosis;macromolecule catabolic process;macromolecule metabolic process;metabolic process;modification-dependent macromolecule catabolic process;modification-dependent protein catabolic process;negative regulation of apoptosis;negative regulation of biological process;negative regulation of cell death;negative regulation of cellular process;negative regulation of programmed cell death;platelet activation;platelet degranulation;positive regulation of catalytic activity;positive regulation of hydrolase activity;positive regulation of kinase activity;positive regulation of molecular function;positive regulation of nuclease activity;positive regulation of protein kinase activity;positive regulation of transferase activity;primary metabolic process;proteasomal protein catabolic process;proteasomal ubiquitin-dependent protein catabolic process;protein metabolic process;proteolysis;proteolysis involved in cellular protein catabolic process;regulation of apoptosis;regulation of biological process;regulation of catalytic activity;regulation of cell death;regulation of cellular metabolic process;regulation of cellular process;regulation of cellular protein metabolic process;regulation of hydrolase activity;regulation of kinase activity;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of molecular function;regulation of nuclease activity;regulation of phosphate metabolic process;regulation of phosphorus metabolic process;regulation of phosphorylation;regulation of primary metabolic process;regulation of programmed cell death;regulation of protein folding in endoplasmic reticulum;regulation of protein kinase activity;regulation of protein metabolic process;regulation of protein modification process;regulation of protein phosphorylation;regulation of transferase activity;response to external stimulus;response to extracellular stimulus;response to nutrient levels;response to starvation;response to stimulus;response to stress;secretion;secretion by cell;transport;ubiquitin-dependent protein catabolic process;vesicle-mediated transport,"adenyl nucleotide binding;adenyl ribonucleotide binding;ATP binding;ATPase activity;binding;binding, bridging;calcium ion binding;caspase inhibitor activity;caspase regulator activity;catalytic activity;cation binding;chaperone binding;cysteine-type endopeptidase inhibitor activity;endopeptidase inhibitor activity;endopeptidase regulator activity;enzyme binding;enzyme inhibitor activity;enzyme regulator activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;ion binding;metal ion binding;misfolded protein binding;nucleoside-triphosphatase activity;nucleotide binding;peptidase inhibitor activity;peptidase regulator activity;protein binding;protein binding, bridging;protein domain specific binding;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;pyrophosphatase activity;ribonucleotide binding;ubiquitin protein ligase binding;unfolded protein binding",cell part;cell surface;cytoplasmic membrane-bounded vesicle;cytoplasmic part;cytoplasmic vesicle;endoplasmic reticulum chaperone complex;endoplasmic reticulum lumen;endoplasmic reticulum part;endoplasmic reticulum-Golgi intermediate compartment;integral to endoplasmic reticulum membrane;integral to membrane;integral to organelle membrane;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle lumen;intracellular organelle part;intracellular part;intrinsic to endoplasmic reticulum membrane;intrinsic to membrane;intrinsic to organelle membrane;macromolecular complex;melanosome;membrane part;membrane-bounded organelle;membrane-bounded vesicle;membrane-enclosed lumen;midbody;nucleus;organelle;organelle lumen;organelle part;perinuclear region of cytoplasm;pigment granule;protein complex;vesicle
